CAUSA_DEF,2015,2016,2017,2018,2019,2020,2021,2022,2023
A502,6.0,3.0,2.0,6.0,11.0,18.0,28.0,29.0,26.0
A503,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
A509,6.0,5.0,9.0,11.0,12.0,9.0,4.0,8.0,10.0
A512,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
A514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
A520,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
A521,0.0,3.0,2.0,0.0,0.0,1.0,1.0,2.0,1.0
A523,0.0,0.0,1.0,2.0,2.0,0.0,1.0,5.0,1.0
A527,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
A529,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
A539,3.0,0.0,0.0,0.0,0.0,2.0,2.0,6.0,6.0
A548,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
A561,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
A562,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A58X,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A590,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A600,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
A601,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
A630,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0
A638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
A64X,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
A680,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
A681,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
A689,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
A690,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
A691,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
A692,0.0,1.0,1.0,1.0,1.0,3.0,1.0,0.0,1.0
A70X,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0
A750,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
A752,0.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0
A759,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
A770,71.0,46.0,49.0,68.0,60.0,24.0,52.0,106.0,145.0
A779,15.0,7.0,9.0,6.0,5.0,12.0,9.0,21.0,5.0
A790,0.0,0.0,0.0,0.0,4.0,0.0,6.0,0.0,0.0
A791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
A798,0.0,0.0,0.0,0.0,0.0,2.0,0.0,16.0,24.0
A799,35.0,32.0,37.0,24.0,12.0,50.0,59.0,129.0,85.0
A810,2.0,5.0,6.0,13.0,11.0,24.0,11.0,9.0,10.0
A811,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
A812,0.0,6.0,2.0,2.0,4.0,9.0,4.0,2.0,2.0
A819,13.0,0.0,0.0,0.0,2.0,4.0,5.0,1.0,4.0
A820,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
A829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
A839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
A849,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
